单位id,用户id（uid）,在线时长（秒）
1727,103131447,345366
1727,103130453,1439422
1727,103131073,248507
1727,147024701,132211
1727,191963192,37654
1727,191963544,660934
1727,147022446,117644
1727,103129266,20115
1727,54544052,11503
1727,103129223,41452
1727,84535285,68951
1727,191961497,58364
1727,108054043,9590
1727,191964306,78321
1727,54991376,540
1727,93704193,28934
1727,176674964,4483
1727,147021662,132225
1727,188923181,6068
1727,191961789,59838
1727,82128999,63017
1727,234990527,11678
1727,114982944,13049
1727,239251272,360
1727,147021720,319424
1727,171812823,47063
1727,93853019,25181
1727,66021938,23342
1727,84293477,361024
1727,69633003,1364
1727,80340161,30975
1727,66008850,12373
1727,66010891,360
1727,149083531,173819
1727,81397449,18885
1727,103130906,2872
1727,72797846,39531
1727,147022137,785011
1727,191960286,4413
1727,83928816,75164
1727,147739793,2380
1727,234989351,1068
1727,191959810,146546
1727,239249146,229
1727,147027638,222153
1727,191960179,413188
1727,44296345,786
1727,103129058,350401
1727,84535476,34165
1727,239247441,180
1727,147023165,1471871
1727,142452900,135457
1727,191961386,68092
1727,84535644,41407
1727,147025659,223156
1727,201379666,180
1727,84534164,32631
1727,66017506,539
1727,66006705,964546
1727,147022450,239406
1727,82299891,274204
1727,162249021,360
1727,234989632,20623
1727,103129026,45325
1727,147024707,68925
1727,147024859,573223
1727,66022165,180
1727,66011118,40627
1727,147025076,206638
1727,176693093,1690
1727,82212395,29401
1727,147112371,180
1727,147026111,121266
1727,147026204,108954
1727,66004101,180
1727,82129047,21382
1727,234989086,301
1727,19598198,106655
1727,82832902,25071
1727,84532616,42501
1727,103129397,371550
1727,191963762,231055
1727,147021589,183270
1727,103129590,20524
1727,79038299,90386
1727,82832128,21953
1727,103129650,25138
1727,103132120,70079
1727,155626856,360
1727,188923929,25585
1727,44414750,360
1727,239251773,2039
1727,103127811,80067
1727,239249869,180
1727,191963663,347801
1727,191960064,305998
1727,147023129,132152
1727,234986563,27496
1727,82832565,531137
1727,103129251,34862
1727,121901114,129311
1727,191962833,87504
1727,234989696,23786
1727,166108113,23280
1727,45083023,108084
1727,66017792,360
1727,55755890,5011
1727,191963555,572910
1727,46394469,180
1727,66006620,148236
1727,84535792,71345
1727,82169111,88741
1727,50397750,358498
1727,82300207,11201
1727,103132020,26581
1727,84535214,303129
1727,82299705,28283
1727,103070654,178153
1727,84534273,38589
1727,82832873,272
1727,191963868,112882
1727,191960892,338876
1727,188927083,48308
1727,103127509,237834
1727,81793609,28600
1727,191964028,301546
1727,121901095,180
1727,147024197,556688
1727,103130634,50773
1727,103130675,46540
1727,82832521,47499
1727,191962882,189701
1727,148477870,1540
1727,60243038,180
1727,103131036,39780
1727,176869626,3726
1727,103131967,31047
1727,191964249,106684
1727,234985786,43844
1727,82300350,36765
1727,94359437,138254
1727,147113359,180
1727,103128672,25414
1727,147114512,21327
1727,103130249,37564
1727,66012381,180
1727,64272095,65450
1727,191963208,538816
1727,126086427,3082
1727,121901265,1199
1727,66016053,540
1727,191960580,273763
1727,95410277,12523
1727,103131986,70580
1727,191962132,119026
1727,84535803,77630
1727,191963933,329120
1727,103129945,35394
1727,234661789,14285
1727,188925205,180
1727,103129313,17819
1727,177156190,360
1727,66020544,548
1727,147116411,7540
1727,191963687,79558
1727,82129180,18958
1727,188927013,41392
1727,82300734,16285
1727,147027458,16495
1727,147113986,62342
1727,234986078,180
1727,66006617,26201
1727,188925689,27035
1727,84511571,33770
1727,191961221,98159
1727,35476772,180
1727,116519119,180
1727,103131702,168894
1727,191960826,361284
1727,103130774,328565
1727,79154343,16908
1727,66016266,2272
1727,148246574,1782
1727,83847870,37991
1727,103127502,360204
1727,103129496,17757
1727,82832461,64429
1727,103127493,185909
1727,239248755,360
1727,191963989,260182
1727,147022794,501161
1727,82248331,46254
1727,239251462,360
1727,88769686,3128
1727,103131907,17207
1727,103130250,440699
1727,84534577,872
1727,191961209,132079
1727,191963477,241652
1727,78177252,46360
1727,66004105,75422
1727,82958642,52111
1727,140389184,180
1727,147113343,2010
1727,103127762,143025
1727,239247607,658
1727,35958011,180
1727,79290349,86247
1727,103130332,26318
1727,58239410,15640
1727,103131208,45944
1727,147023579,203103
1727,66021940,900
1727,191961387,134555
1727,103130062,42954
1727,66006888,115133
1727,155626275,2171
1727,107166167,5689
1727,82832572,133370
1727,188923478,250
1727,191959834,374082
1727,84534627,31239
1727,66016140,135574
1727,191961968,68156
1727,122479631,1568
1727,66011394,1005
1727,83526265,18728
1727,155624073,30128
1727,103129826,9434
1727,147021865,42265
1727,188923632,1698
1727,147027207,630004
1727,191962365,42514
1727,28558176,1303
1727,103129874,135421
1727,191960057,99799
1727,188926264,54719
1727,82832470,2761
1727,54181463,6812
1727,239248556,180
1727,191960456,97911
1727,89593002,58991
1727,82832785,6087
1727,191962762,49446
1727,82128858,21996
1727,147022274,570984
1727,82299466,33421
1727,66013166,540
1727,82242018,34243
1727,147026021,623211
1727,66020469,222
1727,103131306,39140
1727,66012117,2111
1727,66020704,2292
1727,191960900,85787
1727,188926867,12805
1727,147109780,180
1727,80742239,74969
1727,155627094,180
1727,147023415,39272
1727,147026500,143398
1727,129612000,13606
1727,82059938,23845
1727,103128985,56829
1727,147112587,180
1727,147021905,117362
1727,82338752,15127
1727,147025303,70993
1727,121563935,360
1727,33930500,6152
1727,82832511,66228
1727,147985933,4811
